player_id,last_name,first_name,bacon_number,max_year,v0,e1,v1,e2,v2,e3,v3,e4,v4,e5,v5,e6,v6,e7,v7,e8,v8,e9,v9,e10,v10
fitze101,Fitz Gerald,Ed,,1959,fitze101,,,,,,,,,,,,,,,,,,,,
slayb101,Slayback,Bill,,1974,slayb101,,,,,,,,,,,,,,,,,,,,
stetm001,Stetter,Mitch,,2011,stetm001,,,,,,,,,,,,,,,,,,,,
pricj001,Price,Joe,,1990,pricj001,,,,,,,,,,,,,,,,,,,,
thomm004,Thompson,Mike,,2007,thomm004,,,,,,,,,,,,,,,,,,,,
loper101,Lopez,Ramon,,1966,loper101,,,,,,,,,,,,,,,,,,,,
suscg102,Susce,George,,1944,suscg102,,,,,,,,,,,,,,,,,,,,
farmk001,Farmer,Kyle,,2019,farmk001,,,,,,,,,,,,,,,,,,,,
hattj101,Hatten,Joe,,1952,hattj101,,,,,,,,,,,,,,,,,,,,
handr101,Hand,Rich,,1973,handr101,,,,,,,,,,,,,,,,,,,,
