team_id,year_id,name,lg_id
CHN1892,1892,Chicago Colts,NL
CIN1892,1892,Cincinnati Reds,NL
CL41892,1892,Cleveland Spiders,NL
LS31892,1892,Louisville Colonels,NL
NY11892,1892,New York Giants,NL
PHI1892,1892,Philadelphia Phillies,NL
PIT1892,1892,Pittsburgh Pirates,NL
SLN1892,1892,St. Louis Browns,NL
WSN1892,1892,Washington Senators,NL
BLN1893,1893,Baltimore Orioles,NL
BRO1893,1893,Brooklyn Grooms,NL
BSN1893,1893,Boston Beaneaters,NL
CHN1893,1893,Chicago Colts,NL
CIN1893,1893,Cincinnati Reds,NL
CL41893,1893,Cleveland Spiders,NL
LS31893,1893,Louisville Colonels,NL
NY11893,1893,New York Giants,NL
PHI1893,1893,Philadelphia Phillies,NL
PIT1893,1893,Pittsburgh Pirates,NL
SLN1893,1893,St. Louis Browns,NL
WSN1893,1893,Washington Senators,NL
BLN1894,1894,Baltimore Orioles,NL
BRO1894,1894,Brooklyn Grooms,NL
BSN1894,1894,Boston Beaneaters,NL
CHN1894,1894,Chicago Colts,NL
CIN1894,1894,Cincinnati Reds,NL
CL41894,1894,Cleveland Spiders,NL
LS31894,1894,Louisville Colonels,NL
NY11894,1894,New York Giants,NL
PHI1894,1894,Philadelphia Phillies,NL
PIT1894,1894,Pittsburgh Pirates,NL
SLN1894,1894,St. Louis Browns,NL
WSN1894,1894,Washington Senators,NL
BLN1895,1895,Baltimore Orioles,NL
BRO1895,1895,Brooklyn Grooms,NL
BSN1895,1895,Boston Beaneaters,NL
CHN1895,1895,Chicago Colts,NL
CIN1895,1895,Cincinnati Reds,NL
CL41895,1895,Cleveland Spiders,NL
LS31895,1895,Louisville Colonels,NL
NY11895,1895,New York Giants,NL
PHI1895,1895,Philadelphia Phillies,NL
PIT1895,1895,Pittsburgh Pirates,NL
SLN1895,1895,St. Louis Browns,NL
WSN1895,1895,Washington Senators,NL
BLN1896,1896,Baltimore Orioles,NL
BRO1896,1896,Brooklyn Bridegrooms,NL
BSN1896,1896,Boston Beaneaters,NL
CHN1896,1896,Chicago Colts,NL
CIN1896,1896,Cincinnati Reds,NL
CL41896,1896,Cleveland Spiders,NL
LS31896,1896,Louisville Colonels,NL
NY11896,1896,New York Giants,NL
PHI1896,1896,Philadelphia Phillies,NL
PIT1896,1896,Pittsburgh Pirates,NL
SLN1896,1896,St. Louis Browns,NL
WSN1896,1896,Washington Senators,NL
BLN1897,1897,Baltimore Orioles,NL
BRO1897,1897,Brooklyn Bridegrooms,NL
BSN1897,1897,Boston Beaneaters,NL
CHN1897,1897,Chicago Colts,NL
CIN1897,1897,Cincinnati Reds,NL
CL41897,1897,Cleveland Spiders,NL
LS31897,1897,Louisville Colonels,NL
NY11897,1897,New York Giants,NL
PHI1897,1897,Philadelphia Phillies,NL
PIT1897,1897,Pittsburgh Pirates,NL
SLN1897,1897,St. Louis Browns,NL
WSN1897,1897,Washington Senators,NL
BLN1898,1898,Baltimore Orioles,NL
BRO1898,1898,Brooklyn Bridegrooms,NL
BSN1898,1898,Boston Beaneaters,NL
CHN1898,1898,Chicago Orphans,NL
CIN1898,1898,Cincinnati Reds,NL
CL41898,1898,Cleveland Spiders,NL
LS31898,1898,Louisville Colonels,NL
NY11898,1898,New York Giants,NL
PHI1898,1898,Philadelphia Phillies,NL
PIT1898,1898,Pittsburgh Pirates,NL
SLN1898,1898,St. Louis Browns,NL
WSN1898,1898,Washington Senators,NL
BLN1899,1899,Baltimore Orioles,NL
BRO1899,1899,Brooklyn Superbas,NL
BSN1899,1899,Boston Beaneaters,NL
CHN1899,1899,Chicago Orphans,NL
CIN1899,1899,Cincinnati Reds,NL
CL41899,1899,Cleveland Spiders,NL
LS31899,1899,Louisville Colonels,NL
NY11899,1899,New York Giants,NL
PHI1899,1899,Philadelphia Phillies,NL
PIT1899,1899,Pittsburgh Pirates,NL
SLN1899,1899,St. Louis Perfectos,NL
WSN1899,1899,Washington Senators,NL
BRO1900,1900,Brooklyn Superbas,NL
BSN1900,1900,Boston Beaneaters,NL
CHN1900,1900,Chicago Orphans,NL
CIN1900,1900,Cincinnati Reds,NL
NY11900,1900,New York Giants,NL
PHI1900,1900,Philadelphia Phillies,NL
PIT1900,1900,Pittsburgh Pirates,NL
SLN1900,1900,St. Louis Cardinals,NL
BLA1901,1901,Baltimore Orioles,AL
BOS1901,1901,Boston Americans,AL
BRO1901,1901,Brooklyn Superbas,NL
BSN1901,1901,Boston Beaneaters,NL
CHA1901,1901,Chicago White Sox,AL
CHN1901,1901,Chicago Orphans,NL
CIN1901,1901,Cincinnati Reds,NL
CLE1901,1901,Cleveland Blues,AL
DET1901,1901,Detroit Tigers,AL
MLA1901,1901,Milwaukee Brewers,AL
NY11901,1901,New York Giants,NL
PHA1901,1901,Philadelphia Athletics,AL
PHI1901,1901,Philadelphia Phillies,NL
PIT1901,1901,Pittsburgh Pirates,NL
SLN1901,1901,St. Louis Cardinals,NL
WS11901,1901,Washington Senators,AL
BLA1902,1902,Baltimore Orioles,AL
BOS1902,1902,Boston Americans,AL
BRO1902,1902,Brooklyn Superbas,NL
BSN1902,1902,Boston Beaneaters,NL
CHA1902,1902,Chicago White Sox,AL
CHN1902,1902,Chicago Orphans,NL
CIN1902,1902,Cincinnati Reds,NL
CLE1902,1902,Cleveland Bronchos,AL
DET1902,1902,Detroit Tigers,AL
NY11902,1902,New York Giants,NL
PHA1902,1902,Philadelphia Athletics,AL
PHI1902,1902,Philadelphia Phillies,NL
PIT1902,1902,Pittsburgh Pirates,NL
SLA1902,1902,St. Louis Browns,AL
SLN1902,1902,St. Louis Cardinals,NL
WS11902,1902,Washington Senators,AL
BOS1903,1903,Boston Americans,AL
BRO1903,1903,Brooklyn Superbas,NL
BSN1903,1903,Boston Beaneaters,NL
CHA1903,1903,Chicago White Sox,AL
CHN1903,1903,Chicago Cubs,NL
CIN1903,1903,Cincinnati Reds,NL
CLE1903,1903,Cleveland Naps,AL
DET1903,1903,Detroit Tigers,AL
NY11903,1903,New York Giants,NL
NYA1903,1903,New York Highlanders,AL
PHA1903,1903,Philadelphia Athletics,AL
PHI1903,1903,Philadelphia Phillies,NL
PIT1903,1903,Pittsburgh Pirates,NL
SLA1903,1903,St. Louis Browns,AL
SLN1903,1903,St. Louis Cardinals,NL
WS11903,1903,Washington Senators,AL
BOS1904,1904,Boston Americans,AL
BRO1904,1904,Brooklyn Superbas,NL
BSN1904,1904,Boston Beaneaters,NL
CHA1904,1904,Chicago White Sox,AL
CHN1904,1904,Chicago Cubs,NL
CIN1904,1904,Cincinnati Reds,NL
CLE1904,1904,Cleveland Naps,AL
DET1904,1904,Detroit Tigers,AL
NY11904,1904,New York Giants,NL
NYA1904,1904,New York Highlanders,AL
PHA1904,1904,Philadelphia Athletics,AL
PHI1904,1904,Philadelphia Phillies,NL
PIT1904,1904,Pittsburgh Pirates,NL
SLA1904,1904,St. Louis Browns,AL
SLN1904,1904,St. Louis Cardinals,NL
WS11904,1904,Washington Senators,AL
BOS1905,1905,Boston Americans,AL
BRO1905,1905,Brooklyn Superbas,NL
BSN1905,1905,Boston Beaneaters,NL
CHA1905,1905,Chicago White Sox,AL
CHN1905,1905,Chicago Cubs,NL
CIN1905,1905,Cincinnati Reds,NL
CLE1905,1905,Cleveland Naps,AL
DET1905,1905,Detroit Tigers,AL
NY11905,1905,New York Giants,NL
NYA1905,1905,New York Highlanders,AL
PHA1905,1905,Philadelphia Athletics,AL
PHI1905,1905,Philadelphia Phillies,NL
PIT1905,1905,Pittsburgh Pirates,NL
SLA1905,1905,St. Louis Browns,AL
SLN1905,1905,St. Louis Cardinals,NL
WS11905,1905,Washington Senators,AL
BOS1906,1906,Boston Americans,AL
BRO1906,1906,Brooklyn Superbas,NL
BSN1906,1906,Boston Beaneaters,NL
CHA1906,1906,Chicago White Sox,AL
CHN1906,1906,Chicago Cubs,NL
CIN1906,1906,Cincinnati Reds,NL
CLE1906,1906,Cleveland Naps,AL
DET1906,1906,Detroit Tigers,AL
NY11906,1906,New York Giants,NL
NYA1906,1906,New York Highlanders,AL
PHA1906,1906,Philadelphia Athletics,AL
PHI1906,1906,Philadelphia Phillies,NL
PIT1906,1906,Pittsburgh Pirates,NL
SLA1906,1906,St. Louis Browns,AL
SLN1906,1906,St. Louis Cardinals,NL
WS11906,1906,Washington Senators,AL
BOS1907,1907,Boston Americans,AL
BRO1907,1907,Brooklyn Superbas,NL
BSN1907,1907,Boston Doves,NL
CHA1907,1907,Chicago White Sox,AL
CHN1907,1907,Chicago Cubs,NL
CIN1907,1907,Cincinnati Reds,NL
CLE1907,1907,Cleveland Naps,AL
DET1907,1907,Detroit Tigers,AL
NY11907,1907,New York Giants,NL
NYA1907,1907,New York Highlanders,AL
PHA1907,1907,Philadelphia Athletics,AL
PHI1907,1907,Philadelphia Phillies,NL
PIT1907,1907,Pittsburgh Pirates,NL
SLA1907,1907,St. Louis Browns,AL
SLN1907,1907,St. Louis Cardinals,NL
WS11907,1907,Washington Senators,AL
BOS1908,1908,Boston Red Sox,AL
BRO1908,1908,Brooklyn Superbas,NL
BSN1908,1908,Boston Doves,NL
CHA1908,1908,Chicago White Sox,AL
CHN1908,1908,Chicago Cubs,NL
CIN1908,1908,Cincinnati Reds,NL
CLE1908,1908,Cleveland Naps,AL
DET1908,1908,Detroit Tigers,AL
NY11908,1908,New York Giants,NL
NYA1908,1908,New York Highlanders,AL
PHA1908,1908,Philadelphia Athletics,AL
PHI1908,1908,Philadelphia Phillies,NL
